mix: sample 1757 rows = 0.80 epochs
mix: 1757 rows = 0.00B tokens scheduled
axis=chunk (arms: chunk=64 baseline, chunk=32 candidate)
step        =64        =32      delta
   0    10.6048    10.6048    +0.0000
   1     9.7779     9.7779    +0.0001
   2     8.7828     8.7829    +0.0002
   3     8.4578     8.4577    -0.0002
   4     8.3614     8.3597    -0.0017
   5     8.0655     8.0652    -0.0004
   6     8.1652     8.1652    +0.0000
   7     8.2346     8.2359    +0.0013
   8     8.4575     8.4564    -0.0011
   9     7.8469     7.8479    +0.0009
dynamo guard (real runs): cache_size_limit=64 (AttnRes Full needs 25); this script runs eager (limit here: 8)
