mix: sample cache's source changed since caching, retokenizing
mix: tokenizing sample (4212 docs) -> /data00/tokens_sample.pt
  encode 4212/4212 docs, 1M tokens (1.7M tok/s)
mix: sample cached 1M tokens
mix: sample 1757 rows = 0.72 epochs
mix: 1757 rows = 0.00B tokens scheduled
axis=vocab (arms: vocab=32773 baseline, vocab=32784 candidate)
step     =32773     =32784      delta
   0    10.6263    10.6267    +0.0003
   1    15.2012    15.2172    +0.0160
   2    17.4283    17.3695    -0.0588
   3    15.0235    14.8554    -0.1681
   4    14.9817    16.7977    +1.8160
   5    14.6872    14.2587    -0.4285
   6    13.4873    13.0996    -0.3877
   7    11.9833    13.2673    +1.2840
   8    12.5769    12.3343    -0.2425
   9    11.2447    10.7131    -0.5316
dynamo guard (real runs): cache_size_limit=64 (AttnRes Full needs 25); this script runs eager (limit here: 8)
