step 1100/15258 7% [main] | loss 1.812 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.09 | 0.58B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 6.3h
step 1110/15258 7% [main] | loss 2.186 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.31 | 0.58B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 6.3h
step 1120/15258 7% [main] | loss 1.942 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.49 | 0.59B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 6.3h
step 1130/15258 7% [main] | loss 2.128 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.19 | 0.59B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 6.3h
step 1140/15258 7% [main] | loss 1.810 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.52 | 0.60B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 6.3h
step 1150/15258 8% [main] | loss 2.170 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.95 | 0.60B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 6.3h
step 1160/15258 8% [main] | loss 2.490 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.68 | 0.61B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 6.3h
step 1170/15258 8% [main] | loss 2.248 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.83 | 0.61B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 6.3h
step 1180/15258 8% [main] | loss 1.819 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.44 | 0.62B tok | 82K tok/s/gpu | MFU 34% | peak 49.55GiB | ETA 6.3h
step 1190/15258 8% [main] | loss 2.170 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.29 | 0.62B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 6.3h
step 1200/15258 8% [main] | loss 1.884 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.44 | 0.63B tok | 79K tok/s/gpu | MFU 33% | peak 49.54GiB | ETA 6.5h
step 1210/15258 8% [main] | loss 2.076 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.41 | 0.63B tok | 81K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 6.3h
step 1220/15258 8% [main] | loss 2.515 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.09 | 0.64B tok | 81K tok/s/gpu | MFU 34% | peak 49.56GiB | ETA 6.3h
step 1230/15258 8% [main] | loss 2.148 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.70 | 0.64B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 6.3h
step 1240/15258 8% [main] | loss 2.209 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 1.39 | 0.65B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 6.2h
step 1250/15258 8% [main] | loss 1.972 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.41 | 0.66B tok | 82K tok/s/gpu | MFU 34% | peak 49.52GiB | ETA 6.2h
step 1260/15258 8% [main] | loss 2.190 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.73 | 0.66B tok | 82K tok/s/gpu | MFU 34% | peak 49.53GiB | ETA 6.2h
step 1270/15258 8% [main] | loss 2.442 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.96 | 0.67B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 6.2h
step 1280/15258 8% [main] | loss 1.821 | lr 1.00e-02 (muon 1.00e-02 embed 1.00e-01 scalar 1.50e-01 arq 1.00e-02) | gnorm 0.96 | 0.67B tok | 82K tok/s/gpu | MFU 34% | peak 49.54GiB | ETA 6.2h
