params 206.1M | tokens 350545 | seqs 350545 | device cuda:0 | world 8 | fa True | fp8 True
cfg batch 24 accum 1 seq 4096 grad_ckpt False doc_mask True attn_res True/4 softcap 15.0 warmup 150 epochs 1 lr_scale 0.5 mix data/mix.json
step 10/14606 loss 7.521 | 42K tok/s/gpu | MFU 17%
step 20/14606 loss 6.666 | 82K tok/s/gpu | MFU 34%
step 30/14606 loss 6.338 | 82K tok/s/gpu | MFU 34%
step 40/14606 loss 6.195 | 80K tok/s/gpu | MFU 33%
step 50/14606 loss 6.035 | 82K tok/s/gpu | MFU 34%
step 60/14606 loss 5.567 | 82K tok/s/gpu | MFU 34%
step 70/14606 loss 5.354 | 82K tok/s/gpu | MFU 34%
step 80/14606 loss 5.526 | 82K tok/s/gpu | MFU 34%
step 90/14606 loss 5.418 | 82K tok/s/gpu | MFU 34%
step 100/14606 loss 5.297 | 82K tok/s/gpu | MFU 34%
step 110/14606 loss 5.530 | 82K tok/s/gpu | MFU 34%
step 120/14606 loss 5.054 | 82K tok/s/gpu | MFU 34%
step 130/14606 loss 4.943 | 82K tok/s/gpu | MFU 34%
step 140/14606 loss 4.754 | 82K tok/s/gpu | MFU 34%
step 150/14606 loss 5.132 | 82K tok/s/gpu | MFU 34%
step 160/14606 loss 4.994 | 82K tok/s/gpu | MFU 34%
step 170/14606 loss 4.722 | 82K tok/s/gpu | MFU 34%
step 180/14606 loss 4.731 | 82K tok/s/gpu | MFU 34%
step 190/14606 loss 4.359 | 82K tok/s/gpu | MFU 34%
step 200/14606 loss 4.529 | 77K tok/s/gpu | MFU 32%
step 210/14606 loss 4.566 | 82K tok/s/gpu | MFU 34%
step 220/14606 loss 4.592 | 82K tok/s/gpu | MFU 34%
step 230/14606 loss 4.497 | 81K tok/s/gpu | MFU 34%
step 240/14606 loss 4.270 | 81K tok/s/gpu | MFU 34%
step 250/14606 loss 4.468 | 81K tok/s/gpu | MFU 34%
step 260/14606 loss 4.367 | 81K tok/s/gpu | MFU 34%
step 270/14606 loss 4.410 | 81K tok/s/gpu | MFU 34%
step 280/14606 loss 4.138 | 81K tok/s/gpu | MFU 34%
step 290/14606 loss 4.127 | 81K tok/s/gpu | MFU 34%
step 300/14606 loss 4.201 | 81K tok/s/gpu | MFU 34%
step 310/14606 loss 4.137 | 81K tok/s/gpu | MFU 34%
step 320/14606 loss 4.212 | 81K tok/s/gpu | MFU 34%
step 330/14606 loss 4.206 | 81K tok/s/gpu | MFU 34%
step 340/14606 loss 4.072 | 81K tok/s/gpu | MFU 34%
step 350/14606 loss 3.987 | 81K tok/s/gpu | MFU 34%
step 360/14606 loss 4.064 | 81K tok/s/gpu | MFU 34%
step 370/14606 loss 3.921 | 81K tok/s/gpu | MFU 34%
step 380/14606 loss 3.851 | 81K tok/s/gpu | MFU 34%
step 390/14606 loss 3.978 | 81K tok/s/gpu | MFU 34%
step 400/14606 loss 4.137 | 77K tok/s/gpu | MFU 32%
step 410/14606 loss 3.933 | 81K tok/s/gpu | MFU 34%
step 420/14606 loss 3.928 | 81K tok/s/gpu | MFU 34%
step 430/14606 loss 3.596 | 81K tok/s/gpu | MFU 34%
step 440/14606 loss 3.662 | 81K tok/s/gpu | MFU 34%
step 450/14606 loss 3.694 | 81K tok/s/gpu | MFU 34%
step 460/14606 loss 3.849 | 81K tok/s/gpu | MFU 34%
step 470/14606 loss 3.522 | 81K tok/s/gpu | MFU 34%
step 480/14606 loss 3.450 | 81K tok/s/gpu | MFU 34%
step 490/14606 loss 3.673 | 81K tok/s/gpu | MFU 34%
step 500/14606 val 3.116
step 500/14606 loss 3.849 | 47K tok/s/gpu | MFU 20%
step 510/14606 loss 3.781 | 78K tok/s/gpu | MFU 33%
step 520/14606 loss 3.878 | 81K tok/s/gpu | MFU 34%
step 530/14606 loss 3.652 | 81K tok/s/gpu | MFU 34%
step 540/14606 loss 3.723 | 81K tok/s/gpu | MFU 34%
step 550/14606 loss 3.823 | 81K tok/s/gpu | MFU 34%
step 560/14606 loss 3.661 | 81K tok/s/gpu | MFU 34%
step 570/14606 loss 3.444 | 81K tok/s/gpu | MFU 34%
step 580/14606 loss 3.696 | 81K tok/s/gpu | MFU 34%
step 590/14606 loss 3.542 | 81K tok/s/gpu | MFU 34%
step 600/14606 loss 3.604 | 78K tok/s/gpu | MFU 33%
step 610/14606 loss 3.516 | 81K tok/s/gpu | MFU 34%
step 620/14606 loss 3.753 | 81K tok/s/gpu | MFU 34%
step 630/14606 loss 3.738 | 81K tok/s/gpu | MFU 34%
step 640/14606 loss 3.739 | 81K tok/s/gpu | MFU 34%
step 650/14606 loss 3.563 | 81K tok/s/gpu | MFU 34%
